,saleprice,overallqual,totalsqfeet,centralair,garagecars,lotfrontage,bsmtunfsf,lotarea,x1stflrsf,mszoning_RM,age,functional,openporchsf,bsmtexposure,overallcond,yearbuilt,wooddecksf,x2ndflrsf,neighrich,heatingqc,condition1_Norm,bsmtfullbath,mszoning_RL,kitchenqual,salecondition_Normal,screenporch,neighborhood_CollgCr,neighborhood_Sawyer,neighborhood_Crawfor,enclosedporch
0,12.247694320221,7,2566,1,2,65,150,8450,856,0,5,7,61,1,5,2003,0,854,1,5,1,1,1,4,1,0,1,0,0,0
1,12.109010932687,6,2524,1,2,80,284,9600,1262,0,31,7,0,4,8,1976,298,0,1,5,0,0,1,3,1,0,0,0,0,0
2,12.3171666930358,7,2706,1,2,68,434,11250,920,0,6,7,42,2,5,2001,0,866,1,5,1,1,1,4,1,0,1,0,0,0
3,11.849397701591402,7,2473,1,3,60,540,9550,961,0,36,7,35,1,5,1915,0,756,1,4,1,1,1,4,0,0,0,0,1,272
4,12.4292161968444,8,3343,1,3,84,490,14260,1145,0,8,7,84,3,5,2000,192,1053,2,5,1,1,1,4,1,0,0,0,0,0
5,11.870599909242001,5,2158,1,2,85,64,14115,796,0,14,7,30,1,5,1993,40,566,1,5,1,1,1,3,1,0,0,0,0,0
6,12.6346030265693,8,3380,1,2,75,317,10084,1694,0,2,7,57,3,5,2004,255,0,1,5,1,1,1,4,1,0,0,0,0,0
7,12.2060726455302,7,3197,1,2,80,216,10382,1107,0,36,7,204,2,6,1973,235,983,1,5,0,1,1,3,1,0,0,0,0,228
8,11.774520202658698,7,2726,1,2,51,952,6120,1022,1,58,6,0,1,5,1931,90,752,1,4,0,0,0,3,0,0,0,0,0,205
9,11.6784399034478,5,2068,1,1,50,140,7420,1077,0,58,7,4,1,6,1939,0,0,1,5,0,1,1,3,1,0,0,0,0,0
10,11.771436160121699,5,2080,1,1,70,134,11200,1040,0,43,7,0,1,5,1965,0,0,1,5,1,1,1,3,1,0,0,1,0,0
11,12.7512996960135,9,3499,1,3,85,177,11924,1182,0,0,7,21,1,5,2005,147,1142,2,5,1,1,1,5,0,0,0,0,0,0
12,11.8775685785581,5,1824,1,1,72,175,12968,912,0,46,7,0,1,6,1962,140,0,1,3,1,1,1,3,1,176,0,1,0,0
13,12.5407575715773,7,2988,1,3,91,1494,10652,1494,0,0,7,33,3,5,2006,160,0,1,5,1,0,1,4,0,0,1,0,0,0
14,11.964001084330402,6,2506,1,1,73,520,10920,1253,0,48,7,213,1,5,1960,0,0,1,3,1,1,1,3,1,0,0,0,0,176
15,11.7905572015685,7,1686,1,2,51,832,6120,854,1,6,7,112,1,8,1929,48,0,1,5,1,0,0,3,1,0,0,0,0,0
16,11.911701584927599,6,2008,1,2,73,426,11241,1004,0,40,7,0,1,7,1970,0,0,1,5,1,1,1,3,1,0,0,0,0,0
17,11.4075649493124,4,1296,1,2,72,0,10791,1296,0,39,7,0,0,5,1967,0,0,1,3,1,0,1,3,1,0,0,1,0,0
18,11.9766594812024,5,2228,1,2,66,468,13695,1114,0,4,7,102,1,5,2004,0,0,1,5,0,1,1,4,1,0,0,0,0,0
19,11.842229212112802,5,2368,1,1,70,525,7560,1339,0,44,6,0,1,6,1958,0,0,1,3,1,0,1,3,0,0,0,0,0,0
20,12.6925031124614,8,3534,1,3,101,1158,14215,1158,0,0,7,154,3,5,2005,240,1218,2,5,1,0,1,4,0,0,0,0,0,0
